Algorithm,Processes,Size,Time(s),MFLOPS,Status
band,1,64,0.0006,873.8,OK
cannon,1,64,ERROR,N/A,ERROR
band,1,128,0.0068,616.8,OK
cannon,1,128,ERROR,N/A,ERROR
band,1,256,0.0501,669.7,OK
cannon,1,256,ERROR,N/A,ERROR
band,1,512,0.4396,610.6,OK
cannon,1,512,ERROR,N/A,ERROR
band,1,1024,3.2290,665.1,OK
cannon,1,1024,ERROR,N/A,ERROR
band,1,2048,ERROR,N/A,ERROR
cannon,1,2048,ERROR,N/A,ERROR
band,1,4096,ERROR,N/A,ERROR
cannon,1,4096,ERROR,N/A,ERROR
band,4,64,0.0005,1048.6,OK
cannon,4,64,ERROR,N/A,ERROR
band,4,128,0.0037,1133.6,OK
cannon,4,128,ERROR,N/A,ERROR
band,4,256,0.0331,1013.7,OK
cannon,4,256,ERROR,N/A,ERROR
band,4,512,0.1226,2189.5,OK
cannon,4,512,ERROR,N/A,ERROR
band,4,1024,1.1573,1855.6,OK
cannon,4,1024,ERROR,N/A,ERROR
band,4,2048,29.6819,578.8,OK
cannon,4,2048,ERROR,N/A,ERROR
band,4,4096,ERROR,N/A,ERROR
cannon,4,4096,ERROR,N/A,ERROR
band,9,64,0.0011,476.6,OK
cannon,9,64,ERROR,N/A,ERROR
band,9,128,0.0017,2467.2,OK
cannon,9,128,ERROR,N/A,ERROR
band,9,256,0.0184,1823.6,OK
cannon,9,256,ERROR,N/A,ERROR
band,9,512,0.2433,1103.3,OK
cannon,9,512,ERROR,N/A,ERROR
band,9,1024,1.2084,1777.1,OK
cannon,9,1024,ERROR,N/A,ERROR
band,9,2048,27.8344,617.2,OK
cannon,9,2048,ERROR,N/A,ERROR
band,9,4096,ERROR,N/A,ERROR
cannon,9,4096,ERROR,N/A,ERROR
band,16,64,0.0078,67.2,OK
cannon,16,64,ERROR,N/A,ERROR
band,16,128,0.0058,723.2,OK
cannon,16,128,ERROR,N/A,ERROR
band,16,256,0.0148,2267.2,OK
cannon,16,256,ERROR,N/A,ERROR
band,16,512,0.2147,1250.3,OK
cannon,16,512,ERROR,N/A,ERROR
band,16,1024,1.1013,1950.0,OK
cannon,16,1024,ERROR,N/A,ERROR
band,16,2048,22.5670,761.3,OK
cannon,16,2048,ERROR,N/A,ERROR
band,16,4096,ERROR,N/A,ERROR
cannon,16,4096,ERROR,N/A,ERROR
