processes,total_compute,bytes_per_second,compute_time,comm_time,total_time,overlap_efficiency
4,0.50,1000000,1.2517,0.0011,1.2542,99.9
4,1.00,1000000,2.5016,0.0014,2.5050,99.9
4,2.00,1000000,5.0017,0.0028,5.0078,99.9
4,4.00,1000000,10.0017,0.0075,10.0198,99.9
4,8.00,1000000,20.0017,0.0103,20.0247,99.9
4,2.00,100000,5.0017,0.0004,5.0027,100.0
4,2.00,1000000,5.0017,0.0028,5.0097,99.9
4,2.00,10000000,5.0016,0.0357,5.0663,99.4
4,2.00,100000000,5.0015,0.0873,5.4751,92.9
4,2.00,1000000000,5.0016,0.9948,9.7290,61.6
2,2.00,1000000,10.0017,0.0031,10.0095,100.0
4,2.00,1000000,5.0016,0.0030,5.0077,99.9
8,2.00,1000000,2.5017,0.0016,2.5061,99.9
16,2.00,1000000,1.2516,0.0011,1.2540,99.9
4,0.10,1000000,0.2517,0.0004,0.2523,99.9
4,0.20,1000000,0.5017,0.0005,0.5027,99.9
4,0.50,1000000,1.2517,0.0010,1.2536,99.9
4,1.00,1000000,2.5017,0.0016,2.5048,99.9
4,1.50,1000000,3.7517,0.0023,3.7565,99.9
4,2.00,1000000,5.0017,0.0030,5.0078,99.9
4,3.00,1000000,7.5015,0.0034,7.5105,99.9
